precision_x	precision_y	accuracy_x	accuracy_y
0.00179238500521	0.0036245024468	-0.457130692674	-1.12586522032	mean
0.000200363481287	8.6558726349e-05	-0.263572655611	-0.172461800363	point #	0
0.0186183011223	0.010383880586	-29.8846892791	-20.649540999	point #	1
0.054415304347	0.149306871505	-23.7334689105	-20.3905894825	point #	2
0.0244946054942	0.11123754557	-6.91026417795	-20.8990093672	point #	3
0.0720342771663	0.269445591831	18.9030993162	-20.6056221703	point #	4
0.0421469075288	0.128083654607	28.6815706901	-20.5206218568	point #	5
0.289780815039	0.382267337453	31.941415309	-3.97388848199	point #	6
0.021555762416	0.0497593559729	22.2495384545	-0.88788447129	point #	7
0.207518585104	0.226734556828	-1.06533550507	-0.766702919858	point #	8
0.0309283297647	0.0243746756848	-24.7028212851	-0.90818882389	point #	9
0.0461681421937	0.074573102812	-31.0830519366	10.6011129563	point #	10
0.015373259319	0.00916768677631	-26.4246227015	20.2602697909	point #	11
0.0674201305305	0.0332192543072	-9.17459615734	20.0230083406	point #	12
0.0442515144456	0.0648478243035	18.619836929	19.9205295133	point #	13
0.0138739245032	0.0114312340682	29.1381700235	20.1011881366	point #	14
0.0165836868526	0.0214675046009	-24.1312953072	-24.2164232214	point #	15
0.0150306604474	0.0191826936695	-24.9421496435	-20.0093667254	point #	16
0.0198612192923	0.0621881270496	-24.9812043646	-8.7005459925	point #	17
0.0162989628543	0.0296391171151	-25.1241142955	10.4053683148	point #	18
0.0250581182466	0.0322415416789	-25.1801551195	21.0229544039	point #	19
0.0162109860982	0.0187354137175	-13.0435264952	24.0725778887	point #	20
0.0417545197477	0.0422913397784	0.539130633022	20.4430995603	point #	21
0.0227830575409	0.0800304629302	0.640602944119	8.43544555255	point #	22
0.0232318006598	0.0601926634072	0.49405861523	-8.74523158356	point #	23
0.0269512079455	0.126791709157	0.1102305073	-20.9373719211	point #	24
0.0384806553101	0.149348876377	7.4826985234	-25.1086436766	point #	25
0.0278075284988	0.0176268346528	25.7867162242	-20.8616189526	point #	26
0.0490772945263	0.173144913423	26.1244701639	-7.84767699801	point #	27
0.0188870411901	0.0291090144299	26.4718254349	12.4521982088	point #	28
