precision_x	precision_y	accuracy_x	accuracy_y
0.000986062053564	0.000794752482325	0.147180114851	0.161813334786	mean
0.00153203852195	0.000214281878108	0.00183316175952	-0.00314672796788	point #	0
0.105793356099	0.0763461325628	-0.11116785716	-0.0610520092992	point #	1
0.127421711554	0.120932128733	-0.0424778024677	-0.160109896615	point #	2
0.136882549979	0.0987809256664	-0.13979790411	-0.0857792142958	point #	3
0.123246967972	0.096329935916	-0.094522911268	-0.193960151615	point #	4
0.0964666873409	0.0746149900806	0.0079016566991	-0.151031609068	point #	5
0.0806070713136	0.0842698025285	0.172376513425	-0.132730421598	point #	6
0.103531278174	0.0846105910951	0.326347916341	-0.0816134455039	point #	7
0.137422597854	0.0931785996066	1.30682576317	0.0723010073369	point #	8
0.133364553623	0.104164695208	0.7310963031	-0.0440159749925	point #	9
0.164313323485	0.0986009397599	0.571422243506	-0.114158782674	point #	10
0.13077389948	0.106648484261	0.317706394167	0.0265710910206	point #	11
0.121634158353	0.139795875771	0.191531391939	0.0852346179752	point #	12
0.154279502668	0.140263582175	0.0971815414431	-0.00580657579927	point #	13
0.106756718612	0.138441877607	0.408206922199	0.0222885560056	point #	14
0.106037938471	0.135869369635	0.156675955953	0.151612192834	point #	15
0.148973829227	0.188357623605	0.273671088716	0.145567832234	point #	16
0.136672528864	0.196540071055	-0.278940939694	0.403850419136	point #	17
0.101074264573	0.141500635284	-0.219895889414	0.41014227177	point #	18
0.123697146414	0.13003170978	-0.266171891829	0.526908498139	point #	19
0.154644738758	0.159329885272	-0.599289167883	0.295358726996	point #	20
0.111878592085	0.118933486033	-0.321201906293	0.574742925333	point #	21
0.140083391866	0.135620040459	-0.242584223974	0.506403754101	point #	22
0.0782131401234	0.12092305102	0.24695749033	0.324596123531	point #	23
0.110356743735	0.134498803679	0.365063975469	0.356534258291	point #	24
0.118008639741	0.135767991301	0.14803426991	0.311240130046	point #	25
0.0927708695951	0.133055591571	0.591723520319	0.266969846902	point #	26
0.0895452813458	0.123071471267	0.322833799174	0.368094555857	point #	27
0.0821672277155	0.123520781582	0.395016158802	0.169771222403	point #	28
0.0792703063649	0.127090537358	0.253194542097	-0.0673323255166	point #	29
0.0863460651217	0.11227087734	0.194745920997	-0.0655020138986	point #	30
0.0878356396148	0.11970671984	0.364343525781	-0.401596348425	point #	31
0.0994807274218	0.12873750159	0.272552762369	-0.450965018786	point #	32
0.114562589171	0.104478633234	0.234201954071	-0.589186027898	point #	33
0.138029379135	0.124318027733	-0.312802029199	-0.245803545555	point #	34
0.395910077137	0.364895534652	-0.371705763312	0.045882355195	point #	35
0.179347479821	0.16650687044	-0.574147407635	0.0491372946856	point #	36
0.40258941981	0.318465176317	-0.581478186819	0.402250018871	point #	37
0.140972677192	0.216037152174	-0.357067361109	0.6240794315	point #	38
0.327004314011	0.403126234204	-0.11562155968	0.631900496311	point #	39
0.378471109487	0.283032386891	-0.1496738063	1.05164424091	point #	40
0.120834014515	0.237841420968	0.2517278747	1.05787491222	point #	41
0.0932560450874	0.143461570006	0.212924180326	1.14822532838	point #	42
0.118867371398	0.191569387335	0.332375386474	0.901743829121	point #	43
0.0674528276315	0.129553538414	0.313951365878	0.123607451194	point #	44
0.0852928064011	0.144778893423	0.223451042732	-0.38685020977	point #	45
0.0824238950019	0.156992404408	0.146468441255	0.113562210758	point #	46
0.0980234833107	0.244631507145	0.199643666077	0.1459476736	point #	47
0.098747754507	0.21720911888	0.205290314512	0.520129599007	point #	48
0.095397567785	0.248272885962	0.143622296785	-0.172860483745	point #	49
0.0938472335295	0.104979706617	0.116719995788	0.447940237096	point #	50
0.106251558235	0.100609249012	0.0558745954252	0.231371354995	point #	51
0.0801422571075	0.0857111303421	0.0998179377469	-0.0511916461543	point #	52
0.0732238546411	0.108954837137	0.100158714129	-0.599563810515	point #	53
0.283454878826	0.420081615778	-0.0347106191507	-0.570043030893	point #	54
0.161127863151	0.133200979679	0.281282120602	-0.461916018533	point #	55
0.113564100211	0.102062826847	0.358577771677	-0.142244236481	point #	56
0.108571896608	0.102047962683	0.410820684298	0.0500739411468	point #	57
0.134015480427	0.148968313852	0.339416053336	0.430380317029	point #	58
0.177301896127	0.413214206506	0.342976193135	0.443638670282	point #	59
0.124917614684	0.21120033295	0.182517097897	0.675581676273	point #	60
0.0994001819044	0.226511185697	0.254312466425	0.90382870389	point #	61
0.0947786224914	0.152327402709	0.181212752941	0.0346369040897	point #	62
0.0943106628633	0.123051592935	0.333029616499	0.204585774242	point #	63
0.110981830668	0.177450450136	0.193476636766	0.199873916331	point #	64
