precision_x	precision_y	accuracy_x	accuracy_y
0.0113820336066	0.00270662615951	0.934669072982	-0.001803290197	mean
0.000220378561237	0.000570039834402	-0.260350054274	-0.166445791047	point #	0
0.0180865902679	0.0163862069527	-29.9911043898	-20.1597727168	point #	1
0.014597468416	0.0148964186557	-22.9804198958	-19.3733437447	point #	2
0.0111546620461	0.0224278776616	-5.20973698742	-19.169894387	point #	3
0.0694074702131	0.0234748206377	16.105273898	-19.4715728969	point #	4
0.0160925732993	0.0159285539435	28.2304585454	-20.3761498929	point #	5
0.0186928794931	0.0191083283691	31.0289042408	-4.72594565609	point #	6
0.0110774845892	0.0128380319448	26.3514035233	-0.140754242076	point #	7
0.012384797814	0.0175463017657	13.2403042225	-0.424078139235	point #	8
0.0143053235858	0.0191631515291	-8.12197965681	-0.518335683564	point #	9
0.0301712308727	0.0168865601825	-24.5730250224	-0.215095098325	point #	10
0.0376431535201	0.110254446265	-31.2267802589	7.08359865461	point #	11
0.0158091722796	0.0109690913042	-27.9778211831	19.881332478	point #	12
0.0686177406576	0.0142379532779	-18.6490142567	20.1229157276	point #	13
0.0654503072161	0.0219473489333	3.72803085536	20.0434396713	point #	14
0.0165367326282	0.0110685759403	23.6258584345	19.9172060521	point #	15
0.0276056906515	0.0290646966072	17.3792985443	9.7738555298	point #	16
0.0150927168431	0.0431368867966	-24.9440483917	-21.8747959555	point #	17
0.0152602326928	0.0559380806169	-25.0524462572	-13.1103809839	point #	18
0.0134241405582	0.0213273322364	-25.31170897	4.34677736775	point #	19
0.0107599845311	0.0189589832135	-25.3923808251	17.8487693856	point #	20
0.0220544977043	0.0203728695203	-24.9582579731	23.5184531689	point #	21
0.413047883053	0.392541146694	-2.69143198874	24.2599032112	point #	22
0.0130747386328	0.0162261569362	0.0395246602475	15.2588524041	point #	23
0.0755101348613	0.117746083938	-0.0473797501433	-2.36824491204	point #	24
0.0123616635546	0.0263327087216	0.0281656261677	-18.5631789718	point #	25
0.116134269505	0.0359557061028	4.84004771696	-24.2780877126	point #	26
0.0102364495719	0.0202501093831	24.7345107688	-22.522346562	point #	27
0.0115683149296	0.0184905787037	24.6732539018	-17.2446846975	point #	28
0.0134773566157	0.0218667704882	24.7510461702	-8.71209915597	point #	29
0.012382812832	0.0191050912388	25.2831248502	1.28822987935	point #	30
0.010288247736	0.0300593408256	25.4559936067	13.9737273688	point #	31
