precision_x	precision_y	accuracy_x	accuracy_y
0.00601769444917	0.0110185868594	-0.189317120047	-2.31730743212	mean
0.000309796578142	0.000332859998174	-0.258068757248	-0.164818084717	point #	0
0.175238969525	0.160003961073	-29.136553302	-19.6790366138	point #	1
0.168740543461	0.210506090067	-20.4282539987	-19.7725976594	point #	2
0.0150570591993	0.0181424060832	-6.27278832833	-20.2550377863	point #	3
0.401721419813	0.253761652917	6.37859118499	-19.8744066366	point #	4
0.0964130258115	0.119055386149	22.5925678679	-19.4802021248	point #	5
0.0363624542244	0.104207273073	30.3653650727	-13.6895365712	point #	6
0.338659000681	0.31028063871	26.4419716923	0.0331874279346	point #	7
0.297009458065	0.479243334837	6.93560486726	-0.444906983023	point #	8
0.1765282194	0.457230688035	-21.4674014326	-0.676151222485	point #	9
0.0392167138084	0.115897259786	-31.3394779667	8.66074300277	point #	10
0.0386966313251	0.158349095502	-22.2337659927	19.7313432284	point #	11
0.25103899163	0.0620630471471	6.66641346145	19.5687278927	point #	12
0.167080363345	0.352711039255	25.9960296913	19.8427509872	point #	13
0.0190191703238	0.0441802688288	-16.0498085208	-14.5130164863	point #	14
0.0451558363009	0.0952498858052	-25.097261625	-18.7781112042	point #	15
0.070420711466	0.148515895953	-25.3906248975	-1.59198167549	point #	16
0.0216271111246	0.061196717576	-25.8279524828	15.6298379163	point #	17
0.365089985829	0.132890898696	-20.4121858337	23.7462023391	point #	18
0.0264284980741	0.0441718387283	-0.464404959356	18.5609430732	point #	19
0.309103514264	0.271140570534	-0.338972153217	0.43226409612	point #	20
0.148458323356	0.0944183201814	-0.088794679001	-17.1060726568	point #	21
0.0295719355314	0.0329381289914	4.54259406029	-24.5195363387	point #	22
0.0694642156756	0.0191571251209	25.0651731061	-21.9577587526	point #	23
0.287788707226	0.381245797979	25.497510797	-11.4962635548	point #	24
0.0349274258712	0.0290194072367	25.7477767844	5.98021183235	point #	25
