Recording date:	2016/05/02
Recording time:	17:14:09
Recording resolution	1280 x 1024

pygaze initiation report start
display resolution: 1280x1024
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
pygaze calibration report start
samplerate: 60 Hz
sampletime: 16.6586792453 ms
accuracy (in pixels): LX=639.014, LY=510.9858, RX=639.0186, RY=510.986
precision (RMS noise in pixels): X=5.83095189485, Y=9.53939201417
distance between participant and display: 57.0 cm
fixation threshold: 56.4618303415 pixels
speed threshold: 1.31714187105 pixels/ms
accuracy threshold: 360.822512123 pixels/ms**2
pygaze calibration report end
TimeStamp	GazePointXLeft	GazePointYLeft	LeftPupil	ValidityLeft	GazePointXRight	GazePointYRight	RightPupil	ValidityRight	GazePointX	GazePointY	Event
728.5	55.4923	129.9268	3.6660	0	88.4667	134.2315	3.6071	0	0.1125	0.2580	
745.1	65.1128	137.1726	3.6575	0	92.0037	135.2810	3.6014	0	0.1227	0.2661	
761.8	65.7406	144.7256	3.6564	0	97.2586	144.6778	3.5901	0	0.1273	0.2826	
778.4	48.2701	127.4102	3.6494	0	73.6199	128.0532	3.5829	0	0.0952	0.2495	
795.1	48.9309	124.7204	3.6253	0	86.1215	124.6543	3.5603	0	0.1055	0.2435	
811.8	47.9760	122.3058	3.6430	0	84.0844	118.1382	3.5583	0	0.1032	0.2348	
828.4	57.6404	121.8564	3.6238	0	90.0318	120.0819	3.5464	0	0.1154	0.2363	
845.0	57.6171	127.9792	3.6134	0	84.6832	125.2388	3.5413	0	0.1112	0.2473	
861.6	51.0898	114.0962	3.6035	0	81.8780	128.9353	3.5550	0	0.1039	0.2373	
878.4	46.4919	113.3241	3.6047	0	82.8145	127.5973	3.5264	0	0.1010	0.2353	
895.0	49.9167	124.1776	3.5980	0	82.9583	136.2242	3.5239	0	0.1038	0.2543	
911.6	57.0409	127.4250	3.5770	0	78.4135	130.6888	3.4950	0	0.1058	0.2521	
928.3	53.3110	125.3151	3.5673	0	82.9921	130.7919	3.5275	0	0.1065	0.2501	
945.0	46.2707	114.5063	3.5698	0	80.6602	125.0918	3.4866	0	0.0992	0.2340	
961.6	47.3657	129.5824	3.5715	0	80.1851	132.5412	3.5015	0	0.0996	0.2560	
978.3	52.7142	122.4735	3.5594	0	75.5617	134.3982	3.4711	0	0.1002	0.2509	
994.9	50.3748	121.4854	3.5518	0	77.3013	144.9967	3.4785	0	0.0997	0.2602	
1011.6	49.6358	130.7045	3.5317	0	75.5184	132.1587	3.4330	0	0.0978	0.2567	
1028.3	49.9475	124.4147	3.5346	0	83.6596	131.2259	3.4496	0	0.1044	0.2496	
1044.9	55.9391	125.9295	3.5164	0	82.0878	128.0099	3.4480	0	0.1078	0.2480	
1061.5	47.4560	127.9672	3.5214	0	77.1734	127.8862	3.4188	0	0.0974	0.2499	
1078.1	54.4921	128.9368	3.5145	0	78.8695	129.3776	3.4138	0	0.1042	0.2523	
1094.9	58.4735	129.8067	3.4958	0	72.8725	124.9619	3.4080	0	0.1026	0.2488	
1111.5	56.2782	127.5652	3.5264	0	88.0034	135.6264	3.4241	0	0.1127	0.2570	
1128.2	54.0785	108.7902	3.5016	0	87.6448	134.3443	3.4219	0	0.1107	0.2374	
1144.8	54.5398	116.6746	3.5078	0	85.9021	126.6653	3.4319	0	0.1097	0.2376	
1161.5	54.9397	117.3312	3.4990	0	76.3339	114.3393	3.4012	0	0.1026	0.2262	
1178.2	62.9808	125.2028	3.5024	0	77.7291	123.2091	3.4205	0	0.1099	0.2426	
1194.8	55.8472	127.7924	3.5140	0	85.3846	121.1769	3.4200	0	0.1103	0.2431	
1211.4	58.5899	126.0440	3.5182	0	81.8330	122.3114	3.4016	0	0.1097	0.2425	
1228.2	49.4589	117.8390	3.5110	0	83.5542	121.0702	3.4022	0	0.1039	0.2333	
1244.8	56.4321	132.4598	3.5255	0	79.4987	114.7958	3.3852	0	0.1062	0.2415	
1261.4	66.0874	138.7673	3.5234	0	78.2505	122.3741	3.3870	0	0.1128	0.2550	
1278.0	52.9143	133.4277	3.5244	0	80.6326	125.5215	3.4203	0	0.1043	0.2529	
1294.7	60.0326	140.2024	3.5290	0	82.9421	132.7263	3.4124	0	0.1117	0.2665	
1311.4	60.3025	138.6737	3.5142	0	80.9511	114.3825	3.3975	0	0.1104	0.2471	
1328.0	69.8704	147.3128	3.5348	0	78.7512	116.2898	3.4018	0	0.1161	0.2574	
1344.7	51.9395	135.9448	3.5094	0	76.7237	113.9913	3.3897	0	0.1005	0.2441	
1361.3	56.4095	132.8203	3.5322	0	81.3475	123.3176	3.3851	0	0.1076	0.2501	
1378.0	63.6725	125.7802	3.5154	0	80.9965	126.5239	3.4095	0	0.1130	0.2464	
1394.7	58.5842	130.6171	3.5163	0	85.9460	123.8049	3.3925	0	0.1129	0.2485	
1411.3	48.9527	112.7114	3.5063	0	78.4052	125.2598	3.3874	0	0.0995	0.2324	
1427.9	63.0969	125.2031	3.5191	0	82.4939	118.1412	3.3889	0	0.1137	0.2376	
1444.5	55.6994	136.1104	3.4957	0	84.3919	125.9933	3.3860	0	0.1094	0.2560	
1461.3	69.9050	152.2013	3.5184	0	86.0234	125.2751	3.3886	0	0.1218	0.2710	
1477.9	57.8140	139.8879	3.5311	0	77.9385	123.5110	3.3905	0	0.1061	0.2572	
1494.5	59.9189	120.2170	3.5075	0	83.0185	126.8629	3.3802	0	0.1117	0.2413	
1511.2	64.4144	138.7129	3.5232	0	92.9760	122.8762	3.3876	0	0.1230	0.2555	
1527.9	62.0890	141.1197	3.5278	0	86.8855	114.3443	3.3688	0	0.1164	0.2495	
1544.5	62.5736	137.5747	3.5142	0	80.0647	126.0657	3.3656	0	0.1114	0.2575	
1561.2	57.6855	133.9536	3.5167	0	76.2067	118.2174	3.3564	0	0.1046	0.2463	
1577.8	57.3317	121.5758	3.4988	0	77.1709	122.0348	3.3518	0	0.1051	0.2379	
1594.6	56.3016	131.6978	3.5068	0	87.4848	137.7270	3.3717	0	0.1123	0.2631	
1611.2	63.2256	148.4993	3.4957	0	79.0314	126.6550	3.3418	0	0.1111	0.2687	
1627.8	67.1909	143.1124	3.5101	0	81.7551	126.1270	3.3473	0	0.1164	0.2629	
1644.4	56.7633	144.0860	3.5099	0	81.5888	134.2591	3.3586	0	0.1081	0.2718	
1661.0	67.1617	144.3095	3.5054	0	87.8462	140.2925	3.3595	0	0.1211	0.2779	
1677.8	68.8441	134.8505	3.5057	0	81.3509	124.8480	3.3555	0	0.1173	0.2536	
1694.4	63.0828	130.6791	3.5223	0	73.1912	111.9394	3.3654	0	0.1065	0.2369	
1711.0	63.9520	131.5629	3.5140	0	83.5865	119.9035	3.3678	0	0.1153	0.2456	
1727.7	71.6861	130.6299	3.5280	0	82.9625	118.7682	3.3888	0	0.1208	0.2436	
1744.4	64.0334	129.0011	3.5350	0	76.0875	110.8318	3.3699	0	0.1095	0.2342	
1761.0	59.5313	135.0163	3.5320	0	88.8851	132.5468	3.3982	0	0.1160	0.2613	
1777.7	60.7925	141.3235	3.5454	0	88.5881	129.8829	3.4034	0	0.1167	0.2649	
1794.3	65.7461	140.5261	3.5397	0	88.8364	119.8439	3.3948	0	0.1208	0.2543	
1810.9	60.4344	137.0059	3.5545	0	87.8122	128.1134	3.4046	0	0.1158	0.2589	
1827.7	66.4470	138.8020	3.5596	0	92.1212	134.9509	3.4155	0	0.1239	0.2673	
1844.3	57.8151	135.4281	3.5589	0	95.5179	132.9022	3.4356	0	0.1198	0.2620	
1860.9	67.2811	133.5580	3.5588	0	93.6398	135.4572	3.4368	0	0.1257	0.2627	
1877.5	56.0048	125.1234	3.5775	0	92.6064	131.0783	3.4440	0	0.1161	0.2502	
1894.3	54.1908	131.5678	3.5753	0	96.1843	129.9894	3.4457	0	0.1175	0.2554	
1910.9	59.8576	125.9569	3.6050	0	96.0272	129.7069	3.4755	0	0.1218	0.2497	
1927.5	59.9496	139.8315	3.5811	0	97.0973	117.8370	3.4564	0	0.1227	0.2516	
1944.2	57.5545	133.5593	3.6067	0	96.6984	120.2680	3.4561	0	0.1205	0.2479	
1960.9	61.9299	130.1224	3.6217	0	95.0425	122.3726	3.4597	0	0.1226	0.2466	
1977.5	56.4125	133.6027	3.6200	0	79.0615	121.8663	3.4732	0	0.1058	0.2495	
1994.2	52.4119	128.9215	3.6038	0	78.4974	114.9024	3.4946	0	0.1023	0.2381	
2010.8	57.9934	133.9354	3.6136	0	84.5342	121.1427	3.4653	0	0.1113	0.2491	
2027.4	60.0640	133.6065	3.6119	0	78.9768	118.4726	3.4726	0	0.1086	0.2462	
2044.2	63.4602	132.4537	3.6117	0	85.5735	125.4798	3.4742	0	0.1164	0.2519	
2060.8	60.4481	140.0898	3.6089	0	93.9010	129.8040	3.4610	0	0.1206	0.2636	
2077.4	63.7004	145.6701	3.6075	0	90.9101	139.4726	3.4765	0	0.1208	0.2785	
2094.0	65.4499	148.2560	3.5974	0	97.0850	142.8027	3.4834	0	0.1270	0.2842	
2110.8	60.8054	138.2693	3.6140	0	96.6376	142.5457	3.4763	0	0.1230	0.2742	
2127.4	63.5646	143.9249	3.5944	0	95.6351	138.7801	3.4782	0	0.1244	0.2761	
2144.0	66.1466	133.8746	3.5925	0	95.7921	135.6574	3.4651	0	0.1265	0.2632	
2160.7	57.2258	138.4312	3.5875	0	91.1285	131.5263	3.4547	0	0.1159	0.2636	
2177.3	65.6454	144.6421	3.5988	0	93.0986	127.9016	3.4577	0	0.1240	0.2662	
2194.0	64.9550	143.2202	3.5781	0	84.5577	123.1707	3.4377	0	0.1168	0.2601	
2210.7	63.6182	143.0271	3.5984	0	79.4537	126.6990	3.4700	0	0.1118	0.2634	
2227.3	58.3763	137.3677	3.6023	0	82.0512	129.5942	3.4740	0	0.1097	0.2607	
2243.9	57.2711	142.9529	3.6143	0	77.5333	136.5583	3.4780	0	0.1053	0.2730	
2260.7	60.0202	137.3401	3.6046	0	83.6214	138.1151	3.4818	0	0.1122	0.2690	
2277.3	61.2577	134.3877	3.6150	0	92.4045	145.2362	3.4980	0	0.1200	0.2731	
2293.9	67.0974	147.5408	3.6330	0	99.0075	137.3456	3.4846	0	0.1298	0.2782	
2310.6	69.4493	147.3918	3.6049	0	90.8851	133.0828	3.4816	0	0.1253	0.2739	
2327.3	65.1249	137.4771	3.6176	0	94.8855	126.9310	3.4838	0	0.1250	0.2582	
2343.9	68.6283	137.0980	3.6426	0	87.5965	119.2064	3.4945	0	0.1221	0.2503	
2360.6	65.4841	135.6657	3.6438	0	80.1533	129.7796	3.5026	0	0.1138	0.2592	
2377.2	63.9414	146.0671	3.6416	0	74.5404	132.1796	3.4906	0	0.1082	0.2717	
2393.8	62.3396	131.9183	3.6427	0	79.2367	129.7790	3.5193	0	0.1106	0.2556	
2410.6	60.4854	134.6956	3.6517	0	85.5876	132.9820	3.5329	0	0.1141	0.2614	
2427.2	70.5941	134.8610	3.6609	0	83.5208	131.5357	3.5355	0	0.1204	0.2602	
2443.8	68.9075	133.3235	3.6865	0	81.4162	126.9832	3.5426	0	0.1174	0.2542	
2460.4	66.7371	134.8043	3.6778	0	90.3287	129.8496	3.5680	0	0.1227	0.2585	
2477.2	64.6605	130.5568	3.6916	0	92.7436	127.0312	3.5504	0	0.1230	0.2516	
2493.8	64.8825	132.2920	3.7044	0	85.5405	132.0277	3.5711	0	0.1175	0.2581	
2510.4	58.2313	133.8593	3.6964	0	83.4586	128.8769	3.5681	0	0.1107	0.2566	
2527.1	66.4224	129.6218	3.7019	0	87.5383	125.5840	3.5921	0	0.1203	0.2492	
2543.7	64.4301	139.6229	3.7344	0	88.4890	127.1310	3.5806	0	0.1195	0.2605	
2560.4	64.3718	135.8306	3.7421	0	83.4678	121.4241	3.5896	0	0.1155	0.2512	
2577.1	60.1221	139.9473	3.7436	0	83.9856	123.3620	3.6138	0	0.1126	0.2571	
2593.7	67.3645	130.9762	3.7453	0	85.2677	116.8353	3.6027	0	0.1192	0.2420	
2610.3	56.0044	123.1534	3.7450	0	82.8901	123.4891	3.6158	0	0.1085	0.2409	
2627.1	69.5973	116.6253	3.7724	0	84.7956	119.9906	3.6321	0	0.1206	0.2311	
2643.7	62.1748	125.4495	3.7740	0	82.5603	118.6395	3.6372	0	0.1131	0.2384	
2660.3	62.4684	130.5769	3.7774	0	85.0857	114.9958	3.6277	0	0.1153	0.2398	
2676.9	60.1413	131.4112	3.7716	0	86.0572	119.5640	3.6361	0	0.1142	0.2451	
2693.7	59.4036	128.4763	3.7778	0	84.7948	118.3531	3.6505	0	0.1127	0.2410	
2710.3	60.3607	135.7031	3.7866	0	86.5293	126.8858	3.6581	0	0.1148	0.2564	
2726.9	69.9199	143.4240	3.7980	0	88.0167	126.6009	3.6765	0	0.1234	0.2637	
2743.6	68.1126	146.4520	3.8097	0	91.2751	124.8185	3.6810	0	0.1245	0.2649	
2760.2	66.2230	139.5756	3.8143	0	82.1787	122.6308	3.6779	0	0.1159	0.2561	
2776.9	61.2275	140.8276	3.8140	0	89.9768	120.7621	3.6905	0	0.1181	0.2555	
2793.6	60.7805	136.1404	3.8147	0	98.2703	124.4432	3.6907	0	0.1243	0.2545	
2810.2	67.8641	136.0846	3.8378	0	101.7379	118.9701	3.7063	0	0.1325	0.2491	
2826.8	62.9178	132.5527	3.8454	0	108.8926	122.6174	3.7227	0	0.1342	0.2492	
2843.6	66.3278	124.8405	3.8408	0	105.4205	117.0620	3.7213	0	0.1342	0.2362	
2860.2	64.6255	137.2170	3.8418	0	101.8772	121.6109	3.6891	0	0.1301	0.2528	
2876.8	62.0097	139.5762	3.8409	0	100.9676	121.9335	3.6919	0	0.1273	0.2554	
2893.4	64.7393	141.4158	3.8407	0	97.8644	131.0664	3.6804	0	0.1270	0.2661	
2910.2	62.7523	137.7020	3.8390	0	85.6468	138.5711	3.6864	0	0.1159	0.2698	
2926.8	64.3454	147.1927	3.8351	0	92.9890	126.8382	3.6946	0	0.1229	0.2676	
2943.4	59.1280	146.9110	3.8283	0	84.7907	120.4704	3.6733	0	0.1124	0.2611	
2960.1	62.2020	146.3880	3.8292	0	91.1000	129.4494	3.6819	0	0.1198	0.2694	
2976.7	68.5489	132.8964	3.8578	0	92.9930	137.8003	3.6722	0	0.1262	0.2644	
2993.4	64.9050	146.0439	3.8187	0	95.1782	125.8182	3.6754	0	0.1251	0.2655	
18.4									VALIDATION_TRIALSTART, trialnr=0, x=64, y=153
19.0									validation_point_on
1018.7									validation_horizontal_point_fix
3018.7									validation_horizontal_point_off
TimeStamp	GazePointXLeft	GazePointYLeft	LeftPupil	ValidityLeft	GazePointXRight	GazePointYRight	RightPupil	ValidityRight	GazePointX	GazePointY	Event
0.0	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
17.9	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
40.0	80.3963	157.3145	3.8373	0	-1.0000	-1.0000	-1.0000	4	0.0628	0.1536	
56.6	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
73.4	-1.0000	-1.0000	-1.0000	4	90.2357	137.2232	3.7183	0	0.0705	0.1340	
90.0	-1.0000	-1.0000	-1.0000	4	87.5093	127.8956	3.6994	0	0.0684	0.1249	
106.6	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
123.3	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
140.0	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
156.6	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
173.3	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
189.9	58.5521	141.4797	3.8580	0	106.6150	118.8432	3.7253	0	0.1290	0.2542	
206.6	59.8247	130.5232	3.8685	0	99.2002	111.9634	3.7268	0	0.1242	0.2368	
223.2	60.9382	140.0506	3.8779	0	100.5299	120.4324	3.7273	0	0.1261	0.2544	
239.9	58.7269	140.4114	3.8900	0	95.0187	111.1646	3.7210	0	0.1201	0.2457	
256.5	58.9199	133.5000	3.9013	0	98.0551	121.0608	3.7173	0	0.1226	0.2486	
273.1	64.5222	138.0820	3.9033	0	104.5723	121.1647	3.7580	0	0.1321	0.2532	
289.9	64.0796	135.4776	3.9156	0	95.9798	118.9090	3.7508	0	0.1250	0.2484	
306.5	64.7034	137.8316	3.9145	0	102.9798	120.7986	3.7532	0	0.1310	0.2526	
323.1	61.0826	139.4934	3.9164	0	96.6766	131.2892	3.7696	0	0.1232	0.2644	
339.8	127.2477	136.8473	3.9453	0	153.5644	119.9676	3.7891	0	0.2194	0.2508	
356.5	113.3519	133.4749	3.9449	0	144.9974	122.1295	3.7888	0	0.2018	0.2496	
373.1	113.4553	135.7056	3.9486	0	147.7372	124.5831	3.8002	0	0.2041	0.2542	
389.7	110.6159	131.7624	3.9606	0	146.7709	114.1635	3.8151	0	0.2011	0.2402	
406.4	112.6928	137.0928	3.9818	0	146.6945	119.2463	3.8209	0	0.2026	0.2503	
423.1	107.0799	136.0037	3.9754	0	151.3467	123.3561	3.8225	0	0.2019	0.2533	
439.7	108.5673	133.4795	3.9988	0	160.0838	124.8767	3.8534	0	0.2099	0.2523	
456.4	104.2966	133.0652	4.0050	0	161.6766	127.8019	3.8667	0	0.2078	0.2548	
473.0	106.2022	130.9365	4.0003	0	158.7964	120.4375	3.8729	0	0.2070	0.2455	
489.6	104.5641	133.8050	4.0162	0	149.9528	117.0163	3.8712	0	0.1988	0.2449	
506.4	112.3324	132.9102	4.0132	0	152.1036	120.4050	3.8929	0	0.2066	0.2474	
523.0	106.1503	121.6424	4.0161	0	150.3096	127.7946	3.8983	0	0.2004	0.2436	
539.6	109.1544	136.1319	4.0324	0	149.8874	121.5202	3.8853	0	0.2024	0.2516	
556.2	111.8163	140.3393	4.0280	0	141.8857	114.4254	3.8870	0	0.1982	0.2488	
573.0	112.6487	142.8797	4.0396	0	144.8111	122.7404	3.8708	0	0.2011	0.2594	
589.6	109.1956	141.1944	4.0294	0	143.7300	126.3959	3.9049	0	0.1976	0.2613	
606.3	110.6539	140.1875	4.0359	0	140.7723	115.2712	3.8750	0	0.1964	0.2495	
622.9	109.5985	147.1390	4.0383	0	137.9397	118.6667	3.8667	0	0.1934	0.2596	
639.5	111.5546	141.5427	4.0460	0	139.8497	107.4163	3.8718	0	0.1964	0.2431	
656.3	106.1968	132.5807	4.0450	0	146.2700	127.3909	3.8760	0	0.1972	0.2539	
672.9	107.7147	132.7090	4.0339	0	155.0141	129.1154	3.8879	0	0.2053	0.2557	
689.5	115.0416	129.4031	4.0431	0	152.9811	122.0608	3.8568	0	0.2094	0.2456	
706.1	112.8323	130.9947	4.0246	0	150.0638	122.3744	3.8454	0	0.2054	0.2474	
722.9	108.0314	134.7616	4.0197	0	142.1534	111.5301	3.8042	0	0.1955	0.2405	
739.5	110.6890	128.8821	4.0199	0	146.4721	116.6037	3.8136	0	0.2009	0.2397	
756.1	109.4420	126.3133	4.0037	0	148.7493	128.6205	3.8139	0	0.2017	0.2490	
772.8	118.4450	134.7127	3.9786	0	139.3835	117.6038	3.7735	0	0.2014	0.2464	
789.5	118.6547	137.8111	3.9607	0	143.3014	138.1054	3.7975	0	0.2047	0.2694	
806.1	112.7629	138.1605	3.9451	0	138.7270	137.5001	3.8009	0	0.1965	0.2692	
822.8	114.0136	138.8468	3.9382	0	137.4432	130.8183	3.7809	0	0.1965	0.2633	
839.4	121.4632	137.9608	3.9205	0	143.7801	113.8978	3.7480	0	0.2072	0.2460	
856.0	121.6594	142.1298	3.9010	0	140.3754	126.8949	3.7547	0	0.2047	0.2627	
872.8	122.6037	142.4036	3.8929	0	140.8203	120.9769	3.7548	0	0.2058	0.2572	
889.4	122.8302	137.3408	3.8827	0	136.8130	127.7909	3.7249	0	0.2028	0.2589	
906.0	130.2010	138.3073	3.8569	0	140.0791	121.1635	3.7236	0	0.2112	0.2534	
922.6	126.6108	142.5779	3.8486	0	142.6494	134.2732	3.7297	0	0.2104	0.2704	
939.4	123.8328	138.3644	3.8394	0	138.9172	132.7258	3.7335	0	0.2053	0.2647	
956.0	123.4573	132.5890	3.8270	0	143.7617	143.8268	3.7265	0	0.2088	0.2699	
972.6	130.5811	131.7320	3.8186	0	139.4535	142.6834	3.7223	0	0.2110	0.2680	
989.3	125.1196	134.1381	3.8143	0	137.9059	140.4875	3.7267	0	0.2055	0.2682	
1006.0	124.5233	138.3005	3.7974	0	143.8328	130.4312	3.7246	0	0.2097	0.2624	
1022.6	130.1341	142.5406	3.7971	0	140.3709	139.8901	3.7168	0	0.2113	0.2758	
1039.3	132.0903	145.7229	3.8014	0	135.9164	125.6201	3.7171	0	0.2094	0.2650	
1055.9	131.2378	142.8687	3.8112	0	137.0412	128.0892	3.6902	0	0.2096	0.2646	
1072.5	127.1883	141.0042	3.8100	0	140.1289	138.0762	3.7112	0	0.2088	0.2725	
1089.3	129.3350	141.6892	3.8098	0	137.7445	125.5832	3.7004	0	0.2087	0.2610	
1105.9	125.9696	129.8471	3.8341	0	145.7510	123.7499	3.6890	0	0.2123	0.2477	
1122.5	126.0536	140.1531	3.8425	0	150.5385	128.4645	3.7200	0	0.2161	0.2623	
1139.1	131.3538	142.2560	3.8333	0	145.2227	118.7827	3.7161	0	0.2161	0.2549	
1155.9	137.1031	152.6779	3.8505	0	151.0108	134.9646	3.7412	0	0.2251	0.2809	
1172.5	136.9233	149.7248	3.8595	0	142.4506	121.6702	3.7208	0	0.2183	0.2650	
1189.1	130.4755	148.0047	3.8446	0	143.6924	128.5364	3.7162	0	0.2142	0.2701	
1205.8	136.0172	148.8516	3.8690	0	144.1534	131.3733	3.7484	0	0.2189	0.2737	
1222.4	135.3624	145.0273	3.8594	0	141.5081	123.7090	3.7483	0	0.2163	0.2624	
1239.1	132.7164	152.1782	3.8750	0	145.3689	125.1579	3.7251	0	0.2173	0.2708	
