Recording date:	2016/05/14
Recording time:	18:03:32
Recording resolution	1280 x 1024

pygaze initiation report start
display resolution: 1280x1024
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
pygaze calibration report start
samplerate: 60 Hz
sampletime: 16.6490238871 ms
accuracy (in pixels): LX=638.8804, LY=510.7184, RX=638.9136, RY=510.7288
precision (RMS noise in pixels): X=6.16441400297, Y=9.64365076099
distance between participant and display: 57.0 cm
fixation threshold: 56.4618303415 pixels
speed threshold: 1.31714187105 pixels/ms
accuracy threshold: 360.822512123 pixels/ms**2
pygaze calibration report end
TimeStamp	GazePointXLeft	GazePointYLeft	LeftPupil	ValidityLeft	GazePointXRight	GazePointYRight	RightPupil	ValidityRight	GazePointX	GazePointY	Event
767.3	78.2781	191.4626	3.7457	0	26.1528	166.1925	3.3865	0	0.0816	0.3493	
783.9	77.0222	195.3004	3.7230	0	29.6920	167.5601	3.3748	0	0.0834	0.3544	
800.6	74.0324	187.4218	3.7172	0	36.0285	130.5908	3.3672	0	0.0860	0.3106	
817.3	81.7238	190.2442	3.7449	0	29.1723	136.9735	3.3426	0	0.0866	0.3195	
833.9	78.6233	190.1403	3.7358	0	21.3187	148.8975	3.3510	0	0.0781	0.3311	
850.5	79.9352	184.4195	3.7257	0	25.5954	140.4437	3.3403	0	0.0824	0.3172	
867.3	80.9772	189.3652	3.7198	0	33.8124	141.4031	3.3478	0	0.0897	0.3230	
883.9	84.2804	184.4532	3.7271	0	41.0734	136.4541	3.3453	0	0.0979	0.3134	
900.5	81.4370	185.8329	3.7235	0	30.5134	142.5869	3.3225	0	0.0875	0.3207	
917.1	81.2106	181.1964	3.7257	0	21.1417	137.5337	3.3348	0	0.0800	0.3113	
933.8	84.3204	182.4329	3.7257	0	32.2619	144.3890	3.3361	0	0.0911	0.3192	
950.5	84.8990	181.1507	3.7421	0	39.5865	130.4752	3.3477	0	0.0973	0.3043	
967.1	88.7813	178.7338	3.7260	0	28.4034	133.0417	3.3620	0	0.0916	0.3045	
983.8	85.4411	190.3768	3.7232	0	33.6143	131.4940	3.3542	0	0.0930	0.3143	
1000.4	84.8584	180.3107	3.7363	0	36.8135	161.2246	3.3409	0	0.0951	0.3335	
1017.1	78.0383	185.9342	3.7077	0	30.2992	142.9953	3.3326	0	0.0846	0.3212	
1033.8	82.9770	189.2335	3.7239	0	19.1783	143.9754	3.3389	0	0.0798	0.3254	
1050.4	85.0788	188.5042	3.7296	0	24.2871	139.9376	3.3520	0	0.0854	0.3207	
