Recording date:	2016/05/02
Recording time:	17:37:21
Recording resolution	1280 x 1024

pygaze initiation report start
display resolution: 1280x1024
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
pygaze calibration report start
samplerate: 60 Hz
sampletime: 16.6508405546 ms
accuracy (in pixels): LX=639.0218, LY=510.9876, RX=639.0036, RY=510.9998
precision (RMS noise in pixels): X=3.74165738677, Y=4.472135955
distance between participant and display: 57.0 cm
fixation threshold: 56.4618303415 pixels
speed threshold: 1.31714187105 pixels/ms
accuracy threshold: 360.822512123 pixels/ms**2
pygaze calibration report end
TimeStamp	GazePointXLeft	GazePointYLeft	LeftPupil	ValidityLeft	GazePointXRight	GazePointYRight	RightPupil	ValidityRight	GazePointX	GazePointY	Event
739.8	33.2430	178.6061	4.0811	0	67.7326	191.9005	4.5225	0	0.0789	0.3618	
756.4	38.7357	174.7728	4.0932	0	66.8325	185.0985	4.5410	0	0.0825	0.3514	
773.0	36.1333	173.3871	4.0893	0	66.7877	190.7180	4.5329	0	0.0804	0.3556	
789.6	33.7928	174.8886	4.1022	0	73.4242	196.6844	4.5320	0	0.0838	0.3629	
806.3	40.4777	175.2903	4.1025	0	74.2170	187.4461	4.5383	0	0.0896	0.3542	
823.0	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
839.6	36.0880	180.5102	4.0815	0	74.8880	191.9705	4.5252	0	0.0867	0.3638	
856.3	34.2163	175.8121	4.0955	0	72.7646	193.0509	4.5310	0	0.0836	0.3602	
872.9	35.8129	181.8458	4.0888	0	70.8393	192.2008	4.5135	0	0.0833	0.3653	
889.6	37.7884	184.2609	4.0816	0	69.7026	190.1444	4.5125	0	0.0840	0.3656	
906.3	41.2331	188.7603	4.0877	0	69.7304	195.4617	4.5312	0	0.0867	0.3752	
922.9	38.7782	182.5872	4.0691	0	71.1423	189.9952	4.5011	0	0.0859	0.3639	
939.5	34.2711	186.9613	4.0734	0	61.0524	189.7827	4.5056	0	0.0745	0.3679	
956.3	34.6845	182.0237	4.0445	0	69.8126	189.8414	4.5017	0	0.0816	0.3631	
972.9	43.0596	190.6615	4.0649	0	71.1553	193.4974	4.5051	0	0.0892	0.3752	
989.5	38.6971	181.7161	4.0568	0	61.9711	186.6111	4.4827	0	0.0786	0.3597	
1006.1	35.4028	176.6181	4.0437	0	66.1782	191.2615	4.4978	0	0.0794	0.3593	
1022.8	32.6320	182.3794	4.0399	0	73.6050	198.7772	4.4884	0	0.0830	0.3722	
1039.5	35.9026	175.2900	4.0355	0	66.9094	193.2945	4.4979	0	0.0803	0.3599	
