precision_x	precision_y	accuracy_x	accuracy_y
0.0223850718466	0.0065588651035	2.68087792984	0.478339882571	mean
0.000417953617081	0.000615764942604	-0.262369683654	-0.166396329504	point #	0
0.0178704181389	0.0140223008134	-30.1893589158	-20.1585279352	point #	1
0.03570295301	0.0178837926191	-18.7375647993	-19.7302591516	point #	2
0.0803757120238	0.122736517464	7.64806380169	-19.4895433215	point #	3
0.0582266408026	0.158006220944	24.0713934597	-19.5803772563	point #	4
0.0410684002684	0.0500783314504	30.9051527006	-12.6745980574	point #	5
0.0241603792912	0.0251661843088	25.9356230538	0.719250328096	point #	6
0.191557090561	0.419644295486	8.42436960332	0.398949314948	point #	7
0.118597162891	0.38743580465	-17.5658872427	0.133931653558	point #	8
0.120098060336	0.173929705752	-31.0381363793	6.55507958298	point #	9
1.32447066246	0.196202183797	-22.8939164919	20.4159394513	point #	10
1.42526300882	0.398868785914	-0.916850589686	20.1068957286	point #	11
0.142024815117	0.465116471804	24.844201249	20.6125934233	point #	12
1.62114890982	0.14749107987	-9.51192743112	20.7879094216	point #	13
2.31265862155	0.639113818621	-16.8094211147	-22.689776563	point #	14
2.19224788153	0.639970714548	-6.10360397893	-14.8797065757	point #	15
0.341694043984	0.456114821195	-1.85244993233	6.2030492186	point #	16
0.221276647753	0.448773236492	-0.425689802593	19.8823135135	point #	17
0.219358824091	0.363732180783	0.843931959204	24.8475689477	point #	18
0.0138565322446	0.293197970537	24.2126947919	20.0981348144	point #	19
0.0197887455609	0.214191284099	25.3768748356	4.09674185348	point #	20
0.0859012995922	0.156834191449	25.0534121376	-15.9718222753	point #	21
